"","country","v1","v2","v3","v4","v5","v6","v8","v9","v10"
"1",40,2,1,1,1,4,2,4,4,1
"2",40,1,1,1,1,2,1,3,3,1
"3",40,1,1,3,2,2,2,2,2,3
"4",40,2,1,1,3,3,2,4,4,1
"5",40,1,1,2,1,2,2,2,2,NA
"6",40,2,1,1,1,3,2,4,3,2
"7",40,1,1,2,2,4,3,3,2,1
"8",40,1,1,2,2,3,2,3,2,2
"9",40,1,1,1,1,3,1,2,2,2
"10",40,1,1,1,1,1,2,2,2,2
"11",40,1,3,1,1,2,1,4,4,4
"12",40,2,1,1,2,3,2,2,2,NA
"13",40,2,1,1,2,1,1,2,2,3
"14",40,1,1,2,3,2,1,2,3,3
"15",40,1,1,2,2,3,3,4,4,1
"16",40,1,1,1,1,3,1,2,3,NA
"17",40,1,1,2,2,3,3,2,2,1
"18",40,1,1,2,1,4,4,4,4,1
"19",40,2,1,1,2,3,4,4,4,3
"20",40,2,1,1,1,3,4,2,2,2
"21",40,2,1,2,2,4,4,NA,4,3
"22",40,1,1,2,4,4,2,4,4,1
"23",40,1,3,3,3,3,3,3,3,1
"24",40,1,1,1,1,1,3,3,3,2
"25",40,2,2,3,3,3,3,4,4,1
"26",40,1,1,3,4,2,3,3,3,3
"27",40,1,1,3,3,3,2,3,2,1
"28",40,1,1,1,1,1,1,3,3,2
"29",40,2,2,2,1,3,2,2,2,3
"30",40,1,1,1,1,1,NA,3,3,1
"31",40,1,1,1,1,2,2,2,2,4
"32",40,1,1,1,2,2,2,2,4,3
"33",40,2,1,3,3,3,2,2,3,3
"34",40,1,1,2,2,3,2,3,2,2
"35",40,1,1,1,1,4,2,4,3,1
"36",40,1,1,2,1,2,3,2,3,1
"37",40,1,1,2,1,3,4,4,4,2
"38",40,1,1,2,2,3,3,2,3,2
"39",40,1,1,2,3,3,2,3,2,1
"40",40,1,1,2,2,3,1,2,4,2
"41",40,2,1,1,2,3,3,4,4,4
"42",40,2,2,2,2,3,2,NA,2,NA
"43",40,1,1,2,1,3,3,4,4,1
"44",40,1,1,2,1,4,2,2,4,1
"45",40,2,1,1,2,3,1,1,2,2
"46",40,1,1,1,1,1,1,4,4,1
"47",40,3,3,1,1,4,4,1,2,3
"48",40,1,2,2,4,3,3,2,3,2
"49",40,1,1,1,1,2,1,2,4,1
"50",40,1,1,2,3,4,3,2,3,2
"51",40,2,2,1,1,3,3,2,2,3
"52",40,1,2,1,1,2,3,4,4,3
"53",40,1,1,2,2,2,1,4,4,2
"54",40,1,1,3,3,3,2,4,4,4
"55",40,1,1,2,2,3,2,3,3,2
"56",40,3,1,1,2,3,3,3,3,3
"57",40,1,1,3,3,3,2,3,3,3
"58",40,1,1,1,1,4,1,4,3,4
"59",40,1,1,2,2,3,3,4,4,2
"60",40,3,2,2,2,3,1,NA,2,2
"61",40,3,1,3,2,4,4,4,4,2
"62",40,2,1,1,2,3,2,3,3,2
"63",40,1,1,2,2,4,1,3,NA,2
"64",40,1,1,2,2,3,2,3,3,4
"65",40,1,1,3,2,1,1,2,2,2
"66",40,1,1,1,1,3,2,NA,2,4
"67",40,1,1,2,2,4,3,2,3,3
"68",40,1,1,3,2,2,1,3,3,1
"69",40,1,1,1,1,1,3,4,4,1
"70",40,1,1,1,2,3,1,2,2,4
"71",40,1,1,2,3,2,1,2,2,2
"72",40,2,1,2,2,3,2,2,3,2
"73",40,2,1,1,1,2,3,2,2,3
"74",40,2,1,2,3,4,4,1,2,3
"75",40,3,1,1,2,4,2,2,3,3
"76",40,1,1,1,1,2,2,2,3,2
"77",40,1,1,2,1,2,3,2,2,2
"78",40,1,1,2,2,2,3,2,3,2
"79",40,1,1,1,2,4,1,2,2,2
