EntryCountry,COUNTRY,GDP (BILLIONS),CODE
,Afghanistan,21.71,AFG
Albania,Albania,13.4,ALB
,Algeria,227.8,DZA
,American Samoa,0.75,ASM
,Andorra,4.8,AND
,Angola,131.4,AGO
,Anguilla,0.18,AIA
,Antigua and Barbuda,1.24,ATG
Argentina,Argentina,536.2,ARG
,Armenia,10.88,ARM
,Aruba,2.52,ABW
Australia,Australia,1483,AUS
,Austria,436.1,AUT
,Azerbaijan,77.91,AZE
,"Bahamas, The",8.65,BHM
,Bahrain,34.05,BHR
Bangladesh,Bangladesh,186.6,BGD
,Barbados,4.28,BRB
,Belarus,75.25,BLR
Belgium,Belgium,527.8,BEL
,Belize,1.67,BLZ
,Benin,9.24,BEN
,Bermuda,5.2,BMU
,Bhutan,2.09,BTN
Bolivia (Plurinational State of),Bolivia,34.08,BOL
,Bosnia and Herzegovina,19.55,BIH
,Botswana,16.3,BWA
Brazil,Brazil,2244,BRA
,British Virgin Islands,1.1,VGB
,Brunei,17.43,BRN
Bulgaria,Bulgaria,55.08,BGR
Burkina Faso,Burkina Faso,13.38,BFA
,Burma,65.29,MMR
Burundi,Burundi,3.04,BDI
,Cabo Verde,1.98,CPV
,Cambodia,16.9,KHM
Cameroon,Cameroon,32.16,CMR
Canada,Canada,1794,CAN
,Cayman Islands,2.25,CYM
,Central African Republic,1.73,CAF
,Chad,15.84,TCD
Chile,Chile,264.1,CHL
"China, Hong Kong Special Administrative Region",China,10360,CHN
China,China,10360,CHN
Colombia,Colombia,400.1,COL
Comoros,Comoros,0.72,COM
Democratic Republic of the Congo,"Congo, Democratic Republic of the",32.67,COD
Congo,"Congo, Republic of the",14.11,COG
,Cook Islands,0.18,COK
Costa Rica,Costa Rica,50.46,CRI
Côte d'Ivoire,Cote d'Ivoire,33.96,CIV
Croatia,Croatia,57.18,HRV
,Cuba,77.15,CUB
,Curacao,5.6,CUW
,Cyprus,21.34,CYP
,Czech Republic,205.6,CZE
Denmark,Denmark,347.2,DNK
,Djibouti,1.58,DJI
,Dominica,0.51,DMA
,Dominican Republic,64.05,DOM
Ecuador,Ecuador,100.5,ECU
,Egypt,284.9,EGY
,El Salvador,25.14,SLV
,Equatorial Guinea,15.4,GNQ
,Eritrea,3.87,ERI
Estonia,Estonia,26.36,EST
Ethiopia,Ethiopia,49.86,ETH
,Falkland Islands (Islas Malvinas),0.16,FLK
,Faroe Islands,2.32,FRO
,Fiji,4.17,FJI
Finland,Finland,276.3,FIN
France,France,2902,FRA
,French Polynesia,7.15,PYF
,Gabon,20.68,GAB
,"Gambia, The",0.92,GMB
Georgia,Georgia,16.13,GEO
Germany,Germany,3820,DEU
Ghana,Ghana,35.48,GHA
Gibraltar,Gibraltar,1.85,GIB
Greece,Greece,246.4,GRC
,Greenland,2.16,GRL
,Grenada,0.84,GRD
,Guam,4.6,GUM
Guatemala,Guatemala,58.3,GTM
,Guernsey,2.74,GGY
,Guinea-Bissau,1.04,GNB
,Guinea,6.77,GIN
Guyana,Guyana,3.14,GUY
,Haiti,8.92,HTI
Honduras,Honduras,19.37,HND
,Hong Kong,292.7,HKG
,Hungary,129.7,HUN
Iceland,Iceland,16.2,ISL
India,India,2048,IND
Indonesia,Indonesia,856.1,IDN
,Iran,402.7,IRN
,Iraq,232.2,IRQ
,Ireland,245.8,IRL
,Isle of Man,4.08,IMN
Israel,Israel,305,ISR
