Economy;Democracy_Index_Rank_2019;Democracy_Index_Score_2019;Democracy_Index_Rank_2018;Democracy_Index_Score_2018;Democracy_Index_Rank_Change;Democracy_Index_Score_Change;Region
Norway;1;9,87;1;9,87;0;0;Western Europe
Iceland;2;9,58;2;9,58;0;0;Western Europe
Sweden;3;9,39;3;9,39;0;0;Western Europe
New Zealand;4;9,26;4;9,26;0;0;Asia & Australasia
Finland;5;9,25;8;9,14;3;0,11;Western Europe
Ireland;6;9,24;7;9,15;1;0,09;Western Europe
Canada;7;9,22;6;9,15;-1;0,07;North America
Denmark;8;9,22;5;9,22;-3;0;Western Europe
Australia;9;9,09;9;9,09;0;0;Asia & Australasia
Switzerland;10;9,03;10;9,03;0;0;Western Europe
Netherlands;11;9,01;11;8,89;0;0,12;Western Europe
Luxembourg;12;8,81;12;8,81;0;0;Western Europe
Germany;13;8,68;13;8,68;0;0;Western Europe
United Kingdom;14;8,52;14;8,53;0;-0,01;Western Europe
Uruguay;15;8,38;15;8,38;0;0;Latin America & the Caribbean
Austria;16;8,29;16;8,29;0;0;Western Europe
Mauritius;17;8,22;17;8,22;0;0;Sub-Saharan Africa
Spain;18;8,18;19;8,08;1;0,1;Western Europe
Costa Rica;19;8,13;20;8,07;1;0,06;Latin America & the Caribbean
France;20;8,12;29;7,8;9;0,32;Western Europe
Chile;21;8,08;23;7,97;2;0,11;Latin America & the Caribbean
Portugal;22;8,03;27;7,84;5;0,19;Western Europe
South Korea;23;8;21;8;-2;0;Asia & Australasia
Japan;24;7,99;22;7,99;-2;0;Asia & Australasia
US;25;7,96;25;7,96;0;0;North America
Malta;26;7,95;18;8,21;-8;-0,26;Western Europe
Estonia;27;7,9;24;7,97;-3;-0,07;Eastern Europe
Israel;28;7,86;30;7,79;2;0,07;Middle East & North Africa
Botswana;29;7,81;28;7,81;-1;0;Sub-Saharan Africa
Cabo Verde;30;7,78;26;7,88;-4;-0,1;Sub-Saharan Africa
Taiwan;31;7,73;32;7,73;1;0;Asia & Australasia
Czech Republic;32;7,69;34;7,69;2;0;Eastern Europe
Belgium;33;7,64;31;7,78;-2;-0,14;Western Europe
Cyprus;34;7,59;35;7,59;1;0;Western Europe
Italy;35;7,52;33;7,71;-2;-0,19;Western Europe
Slovenia;36;7,5;36;7,5;0;0;Eastern Europe
Lithuania;37;7,5;37;7,5;0;0;Eastern Europe
Latvia;38;7,49;38;7,38;0;0,11;Eastern Europe
Greece;39;7,43;39;7,29;0;0,14;Western Europe
South Africa;40;7,24;40;7,24;0;0;Sub-Saharan Africa
Timor-Leste;41;7,19;42;7,19;1;0;Asia & Australasia
Slovakia;42;7,17;44;7,1;2;0,07;Eastern Europe
Malaysia;43;7,16;52;6,88;9;0,28;Asia & Australasia
Trinidad and Tobago;44;7,16;43;7,16;-1;0;Latin America & the Caribbean
Colombia;45;7,13;51;6,96;6;0,17;Latin America & the Caribbean
Panama;46;7,05;45;7,05;-1;0;Latin America & the Caribbean
Bulgaria;47;7,03;46;7,03;-1;0;Eastern Europe
Argentina;48;7,02;48;7,02;0;0;Latin America & the Caribbean
Suriname;49;6,98;49;6,98;0;0;Latin America & the Caribbean
Jamaica;50;6,96;47;7,02;-3;-0,06;Latin America & the Caribbean
