Country;GDP_Nominal_per_capita_dollar_2019;GDP_Nominal_per_capita_rank_2019;GDP_Nominal_per_capita_dollar_2020;GDP_Nominal_per_capita_rank_2020;GDP_Nominal_per_capita_dollar_change;GDP_Nominal_per_capita_rank_change;Continent
Luxembourg;115839;1;109602;1;-6237;0;Europe
Switzerland;82484;2;81867;2;-617;0;Europe
Ireland;80504;3;79669;3;-835;0;Europe
Norway;75294;5;67989;4;-7305;1;Europe
United States;65254;7;63051;5;-2203;2;North America
Singapore;65234;8;58484;6;-6750;2;Asia
Denmark;59770;10;58439;7;-1331;3;Europe
Iceland;67857;6;57189;8;-10668;-2;Europe
Qatar;62919;9;52751;9;-10168;0;Asia
Australia;54348;11;51885;10;-2463;1;Oceania
Netherlands;52646;12;51290;11;-1356;1;Europe
Sweden;51404;13;50339;12;-1065;1;Europe
Austria;50380;14;48634;13;-1746;1;Europe
Finland;48810;15;48461;14;-349;1;Europe
Germany;46473;18;45466;15;-1007;3;Europe
Hong Kong SAR;48627;16;45176;16;-3451;0;Asia
Belgium;46237;20;43814;17;-2423;3;Europe
Canada;46272;19;42080;18;-4192;1;North America
San Marino;47622;17;41683;19;-5939;-2;Europe
Israel;43603;21;41560;20;-2043;1;Asia
France;41897;23;39257;21;-2640;2;Europe
United Kingdom;42379;22;39229;22;-3150;0;Europe
Japan;40256;25;39048;23;-1208;2;Asia
Macao SAR;79251;4;38769;24;-40482;-20;Asia
New Zealand;41667;24;38675;25;-2992;-1;Oceania
United Arab Emirates;39180;26;31948;26;-7232;0;Asia
Italy;33159;28;30657;27;-2502;1;Europe
Korea;31846;30;30644;28;-1202;2;Asia
Puerto Rico;32595;29;30113;29;-2482;0;North America
The Bahamas;35664;27;30027;30;-5637;-3;North America
Malta;30374;31;28469;31;-1905;0;Europe
Taiwan Province of China;25873;38;26910;32;1037;6;Asia
Spain;29993;32;26832;33;-3161;-1;Europe
Cyprus;28049;35;26240;34;-1809;1;Europe
Slovenia;25992;37;25039;35;-953;2;Europe
Brunei Darussalam;29314;33;23117;36;-6197;-3;Asia
Estonia;23758;40;22986;37;-772;3;Europe
Bahrain;25998;36;22878;38;-3120;-2;Asia
