Rank;Country;PPP_Div_Nom;GDP_Nom_Bn_dollar_2020;GDP_Nom_Rank_2020;GDP_PPP_Bn_dollar_2020;GDP_PPP_Rank_2020;GDP_Nom_Capita_Dollar_2020;GDP_Nom_Capita_Rank_2020;GDP_Nom_PPP_Dollar_2020;GDP_Nom_PPP_Rank_2020
1;Sudan;5,104002947;32576;98;166268;72;735;177;3749;155
2;Tajikistan;4,2703216;7898;147;33727;130;834;172;3560;158
3;Lebanon;4,212501334;18734;115;78917;96;2745;135;11562;106
4;Kyrgyz Republic;4,203074866;7480;149;31439;133;1148;162;4824;146
5;Uzbekistan;4,185257064;59771;78;250157;62;1763;151;7378;126
6;Afghanistan;4,150478796;19006;112;78884;97;499;187;2073;178
7;Pakistan;4,095396827;262797;45;1076258;23;1260;160;5160;141
8;Myanmar;3,886486105;70890;69;275513;57;1333;159;5179;140
9;Ukraine;3,711304042;142250;58;527933;40;3425;123;12710;97
10;Turkey;3,667172747;649436;20;2381594;13;7715;78;28294;52
11;Egypt;3,571614508;361875;34;1292478;19;3561;120;12719;96
12;Sri Lanka;3,546240138;81120;66;287671;56;3698;119;13114;95
13;Azerbaijan;3,515072241;41666;90;146459;77;4125;109;14499;88
14;Bhutan;3,51333591;2587;164;9089;160;3431;122;12058;103
15;Suriname;3,477935382;2538;165;8827;161;4199;106;14605;85
16;Angola;3,452426503;62724;74;216550;64;2021;145;6978;128
17;Georgia;3,437300809;16316;118;56083;107;4405;101;15142;83
18;India;3,348514975;2592583;6;8681303;3;1877;148;6284;129
19;Algeria;3,314424767;147323;57;488291;43;3331;127;11041;109
20;Sierra Leone;3,299516908;4140;158;13660;152;518;185;1711;182
21;Zambia;3,297583161;18909;113;62354;103;1001;166;3302;162
22;Mauritania;3,236672052;7428;150;24042;143;1791;150;5797;131
23;Belarus;3,221199834;57708;80;185889;69;6134;89;19759;68
24;Nepal;3,214099136;32158;99;103359;87;1116;163;3586;157
25;Lao P.D.R.;3,202487536;18653;116;59736;104;2567;137;8221;124
26;Madagascar;3,199168956;14199;128;45425;114;515;186;1647;183
27;Venezuela;3,196523349;48610;86;155383;75;1739;152;5558;134
28;Armenia;3,183329431;12813;133;40788;118;4315;103;13735;91
29;Tunisia;3,150308469;39226;91;123574;82;3295;129;10382;113
30;Lesotho;3,12224554;1906;170;5951;165;924;168;2886;164
31;Eritrea;3,117590361;2075;168;6469;164;585;183;1824;180
32;Moldova;3,105417667;11241;138;34908;126;4268;104;13253;94
33;Vietnam;3,074902672;340602;37;1047318;24;3498;121;10755;111
34;Mongolia;3,072469182;13385;131;41125;116;3990;115;12259;101
35;Indonesia;3,056930402;1088768;15;3328288;7;4038;114;12345;99
36;Guinea-Bissau;3,051724138;1392;177;4248;170;767;175;2340;174
37;Kazakhstan;3,027731853;165730;54;501786;41;8782;72;26589;57
38;The Gambia;2,99944629;1806;172;5417;167;746;176;2239;175
39;Yemen;2,993412259;20948;110;62706;102;645;181;1931;179
40;Nicaragua;2,968248635;11905;135;35337;124;1832;149;5439;137
41;Burundi;2,967741935;3131;162;9292;159;264;193;783;193
42;South Sudan;2,915010773;4177;157;12176;156;303;192;884;192
43;Rwanda;2,905734561;10428;141;30301;135;823;173;2393;173
44;Burkina Faso;2,865128715;16082;119;46077;113;769;174;2203;176
45;Ethiopia;2,845723313;95588;63;272017;60;974;167;2772;166
46;Somalia;2,834078894;4918;154;13938;150;-;-;-;-
47;Cambodia;2,825201398;26316;102;74348;99;1572;154;4441;149
48;Uganda;2,824265232;37733;94;106568;86;915;170;2585;168
49;Mozambique;2,81122484;14557;124;40923;117;455;190;1279;187
50;Zimbabwe;2,802028282;14002;130;39234;120;922;169;2583;169
51;Albania;2,787017244;14034;129;39113;121;4898;98;13651;93
52;Timor-Leste;2,768229167;1920;169;5315;168;1456;156;4031;151
53;North Macedonia;2,759632294;12510;134;34523;128;6019;90;16609;79
54;Russia;2,746939029;1464078;11;4021733;6;9972;66;27394;54
55;Benin;2,735090243;15292;121;41825;115;1259;161;3443;161
56;Bangladesh;2,721743536;317768;41;864883;31;1888;147;5139;142
57;Colombia;2,714841111;264933;44;719251;32;5207;95;14137;90
58;Mali;2,692281595;17685;117;47613;112;899;171;2421;172
59;Malaysia;2,677209883;336330;40;900426;30;10192;65;27287;55
60;Brunei Darussalam;2,673992674;10647;139;28470;136;23117;36;61816;8
61;Kosovo;2,660208445;7484;148;19909;146;4141;108;11017;110
62;Eswatini;2,622661123;3848;160;10092;157;3415;124;8955;119
63;Ghana;2,608357961;67337;72;175639;71;2188;141;5707;132
64;Bosnia and Herzegovina;2,585031493;18893;114;48839;111;5762;92;14895;84
65;Tanzania;2,578466385;64123;73;165339;73;1106;164;2851;165
66;Fiji;2,556968464;3932;159;10054;158;4371;102;11175;108
67;Paraguay;2,546705611;35606;95;90678;94;4909;97;12503;98
68;Philippines;2,542214491;367362;32;933913;28;3373;125;8574;120
69;Chad;2,528449096;10510;140;26574;139;640;182;1618;185
70;Dominican Republic;2,522925414;77883;67;196493;67;7445;81;18783;72
71;South Africa;2,515227115;282588;42;710773;33;4736;99;11911;105
72;Serbia;2,513029097;51999;84;130675;79;7497;80;18840;70
73;Montenegro;2,512037224;4943;153;12417;155;7933;77;19931;67
74;Bolivia;2,511274334;38938;93;97784;92;3322;128;8342;122
75;Malawi;2,493877551;8330;146;20774;145;399;191;995;189
76;Equatorial Guinea;2,493717591;10028;143;25007;141;7131;85;17782;75
77;Cameroon;2,484603955;39036;92;96989;93;1493;155;3710;156
78;Thailand;2,477386096;509200;25;1261485;22;7295;82;18073;74
79;Guinea;2,467832561;14238;126;35137;125;1019;165;2516;170
80;Botswana;2,463268649;15872;120;39097;122;6558;87;16153;81
81;Morocco;2,437622527;112220;59;273550;58;3121;131;7609;125
82;Bulgaria;2,416110841;67917;71;164095;74;9826;67;23741;60
83;Argentina;2,415453548;382760;31;924539;29;8433;74;20370;66
84;Kenya;2,406153511;101048;62;243137;63;2075;144;4993;145
85;Jordan;2,397568589;42609;89;102158;88;4174;107;10007;115
86;Senegal;2,37924536;24409;104;58075;106;1455;157;3463;159
87;Togo;2,375065571;5719;152;13583;153;690;179;1640;184
88;Saudi Arabia;2,362486543;680897;19;1608610;17;19587;44;46273;25
89;Haiti;2,360608602;8347;145;19704;149;732;178;1728;181
90;Nigeria;2,357263147;442976;27;1044211;25;2149;142;5066;144
91;Namibia;2,353882169;10252;142;24132;142;4052;113;9537;118
92;Romania;2,352355364;248624;46;584852;36;12813;59;30141;48
93;Côte d'Ivoire;2,34946831;61502;76;144497;78;2281;140;5360;138
94;Liberia;2,349413299;3068;163;7208;163;654;180;1536;186
95;Niger;2,337676355;12971;132;30322;134;536;184;1253;188
96;Mexico;2,330427001;1040372;16;2424511;11;8069;76;18804;71
97;Mauritius;2,314787056;11341;137;26252;140;8951;70;20719;65
98;Honduras;2,295572048;23984;105;55057;108;2412;138;5538;136
99;Brazil;2,257644451;1363767;12;3078901;8;6450;88;14563;87
100;Comoros;2,253333333;1200;179;2704;174;1337;158;3014;163
101;Iraq;2,242409271;178112;53;399400;48;4438;100;9952;116
102;Gabon;2,206404754;15145;122;33416;131;7185;84;15854;82
103;Poland;2,20463458;580894;23;1280659;20;15304;52;33739;43
104;El Salvador;2,198515171;24784;103;54488;109;3821;117;8401;121
105;Bahrain;2,144321858;34624;96;74245;100;22878;38;49057;23
106;Seychelles;2,141068447;1198;180;2565;175;12323;62;26388;58
107;Democratic Republic of the Congo;2,13948591;46062;88;98549;91;457;189;978;190
108;Panama;2,131523073;60286;77;128501;81;14090;57;30034;49
109;Hungary;2,109804654;149939;55;316342;54;15373;50;32434;45
110;Cabo Verde;2,078609626;1870;171;3887;172;3358;126;6980;127
111;Oman;2,0735896;62305;75;129195;80;14423;54;29908;50
112;Turkmenistan;2,069832868;47986;87;99323;89;8074;75;16711;78
113;Central African Republic;2,022834985;2321;166;4695;169;480;188;972;191
114;Taiwan Province of China;2,007412512;635547;21;1275805;21;26910;32;54020;17
115;Guyana;2,00719953;6806;151;13661;151;8649;73;17360;76
116;São Tomé and Príncipe;2,004796163;0,417;188;0,836;186;1912;146;3837;153
117;Ecuador;1,997389286;93078;65;185913;68;5316;93;10617;112
118;Republic of Congo;1,988960257;9964;144;19818;148;2128;143;4233;150
119;Croatia;1,972537345;56768;81;111977;83;14033;58;27681;53
120;Peru;1,97035671;195761;50;385719;49;5845;91;11516;107
121;Jamaica;1,957759348;14228;127;27855;137;5221;94;10221;114
122;Guatemala;1,949862845;76191;68;148562;76;4240;105;8267;123
123;Lithuania;1,941613395;55064;82;106913;85;19883;43;38605;37
124;Kuwait;1,875515388;108656;60;203786;66;22252;40;41735;30
125;Chile;1,859690156;245414;47;456394;44;12612;60;23455;61
126;Maldives;1,842317487;4712;155;8681;162;12464;61;22965;62
127;West Bank and Gaza;1,836949153;14750;123;27095;138;2894;133;5316;139
128;United Arab Emirates;1,830041905;353899;35;647650;34;31948;26;58466;10
129;Czech Republic;1,780725282;241975;48;430891;47;22627;39;40293;33
130;Latvia;1,774738755;33015;97;58593;105;17230;47;30579;47
131;St. Vincent and the Grenadines;1745,173745;0,777;185;1356;182;7033;86;12268;100
132;Qatar;1,742081724;147791;56;257464;61;52751;9;91897;3
133;Slovak Republic;1,723913556;101892;61;175653;70;18669;45;32184;46
134;Grenada;1,674115456;1074;181;1798;180;9824;68;16454;80
135;Costa Rica;1,660440942;59645;79;99037;90;11629;63;19309;69
136;Djibouti;1,650234742;3408;161;5624;166;3074;132;5074;143
137;Islamic Republic of Iran;1,648533886;610662;22;1006697;26;7257;83;11963;104
138;Singapore;1,634690666;337451;39;551628;38;58484;6;95603;2
139;Estonia;1,611100171;30468;100;49087;110;22986;37;37033;40
140;Trinidad and Tobago;1,603046043;22718;108;36418;123;16197;48;25964;59
141;Greece;1,598669589;194376;51;310743;55;18168;46;29045;51
142;China;1,587320258;15222155;2;24162435;1;10839;64;17206;77
143;Dominica;1,568807339;0,545;186;0,855;185;7709;79;12083;102
144;Slovenia;1,537855681;51802;85;79664;95;25039;35;38506;38
145;Portugal;1,533258763;221716;49;339948;52;21608;41;33131;44
146;Belize;1,525064267;1556;174;2373;177;3734;118;5695;133
147;Macao SAR;1,520001518;26348;101;40049;119;38769;24;58931;9
148;Malta;1,513435969;14290;125;21627;144;28469;31;43087;29
149;Cyprus;1,48928848;23246;107;34620;127;26240;34;39079;36
150;Papua New Guinea;1,456083838;23283;106;33902;129;2652;136;3861;152
151;Libya;1,446044485;21805;109;31531;132;3282;130;4746;147
152;Korea;1,445358731;1586786;10;2293475;14;30644;28;44292;27
153;Spain;1,421575292;1247464;14;1773364;16;26832;33;38143;39
154;St. Lucia;1,401129944;1770;173;2480;176;9780;69;13708;92
155;Uruguay;1,391761337;54135;83;75343;98;15332;51;21338;63
156;St. Kitts and Nevis;1378,874856;0,871;182;1201;183;15246;53;21028;64
157;San Marino;1,359574468;1410;176;1917;178;41683;19;56690;14
158;Samoa;1357,056695;0,829;184;1125;184;4084;111;5547;135
159;Aruba;1,33784965;2288;167;3061;173;20310;42;27169;56
160;Antigua and Barbuda;1,3174946;1389;178;1830;179;14159;56;18655;73
161;Italy;1,306883048;1848222;8;2415410;12;30657;27;40066;34
162;Kiribati;1,298969072;0,194;192;0,252;190;1638;153;2126;177
163;Hong Kong SAR;1,287531605;341319;36;439459;46;45176;16;58165;11
164;Tonga;1,210735586;0,503;187;0,609;188;5023;96;6074;130
165;Germany;1,178266248;3780553;4;4454498;5;45466;15;53571;18
166;Puerto Rico;1,162225438;93968;64;109212;84;30113;29;34998;41
167;France;1,157849396;2551451;7;2954196;10;39257;21;45454;26
168;Belgium;1,143801548;503416;26;575808;37;43814;17;50114;21
169;Austria;1,139239629;432894;28;493170;42;48634;13;55406;15
170;Canada;1,130435353;1600264;9;1808995;15;42080;18;47569;24
171;United Kingdom;1,12897264;2638296;5;2978564;9;39229;22;44288;28
172;The Bahamas;1,125951557;11560;136;13016;154;30027;30;33808;42
173;Ireland;1,121932823;399064;29;447723;45;79669;3;89383;4
174;Nauru;1,114035088;0,114;193;0,127;193;8867;71;9875;117
175;Netherlands;1,113313303;886339;17;986773;27;51290;11;57101;13
176;Tuvalu;1,111111111;0,045;194;0,05;194;4091;110;4480;148
177;Japan;1,06629726;4910580;3;5236138;4;39048;23;41637;31
178;New Zealand;1,061980418;193545;52;205541;65;38675;25;41072;32
179;Sweden;1,042458804;529054;24;551517;39;50339;12;52477;19
180;Solomon Islands;1,031592521;1551;175;1600;181;2367;139;2442;171
181;Luxembourg;1,029863145;68613;70;70662;101;109602;1;112875;1
182;Finland;1,01800221;267856;43;272678;59;48461;14;49334;22
183;United States;1;20807269;1;20807269;2;63051;5;63051;7
184;Palau;0,996015936;0,251;190;0,25;191;14233;55;14159;89
185;Denmark;0,988749389;339626;38;335805;53;58439;7;57781;12
186;Australia;0,97994138;1334688;13;1307916;18;51885;10;50845;20
187;Norway;0,9539311;366386;33;349507;51;67989;4;64856;6
188;Iceland;0,952655612;20805;111;19820;147;57189;8;54482;16
189;Israel;0,94144096;383425;30;360972;50;41560;20;39126;35
190;Marshall Islands;0,928888889;0,225;191;0,209;192;4071;112;3786;154
191;Vanuatu;0,920138889;0,864;183;0,795;187;2879;134;2649;167
192;Barbados;0,905831533;4630;156;4194;171;16082;49;14568;86
193;Micronesia;0,893670886;0,395;189;0,353;189;3855;116;3447;160
194;Switzerland;0,834760153;707868;18;590900;35;81867;2;68340;5
