Country;Innovation_Index_Rank_2019;Innovation_Index_Score_2019;Innovation_Index_Rank_2018;Innovation_Index_Score_2018;Innovation_Index_Rank_Change;Innovation_Index_Score_Change
Switzerland;1;67;1;68;0;-1
Sweden;2;64;3;63;1;1
United States of America;3;62;6;60;3;2
Netherlands;4;61;2;63;-2;-2
United Kingdom;5;61;4;60;-1;1
Finland;6;60;7;60;1;0
Denmark;7;58;8;58;1;0
Singapore;8;58;5;60;-3;-1
Germany;9;58;9;58;0;0
Israel;10;57;11;57;1;1
Korea, Republic of;11;57;12;57;1;0
Ireland;12;56;10;57;-2;-1
Hong Kong (China);13;56;14;55;1;1
China;14;55;17;53;3;2
Japan;15;55;13;55;-2;0
France;16;54;16;54;0;0
Canada;17;54;18;53;1;1
Luxembourg;18;54;15;55;-3;-1
Norway;19;52;19;53;0;-1
Iceland;20;52;23;51;3;0
Austria;21;51;21;51;0;0
Australia;22;50;20;52;-2;-2
Belgium;23;50;25;51;2;0
Estonia;24;50;24;51;0;-1
New Zealand;25;50;22;51;-3;-2
Czech Republic;26;49;27;49;1;1
Malta;27;49;26;50;-1;-1
Cyprus;28;48;29;48;1;1
Spain;29;48;28;49;-1;-1
Italy;30;46;31;46;1;0
Slovenia;31;45;30;47;-1;-2
Portugal;32;45;32;46;0;-1
Hungary;33;45;33;45;0;0
Latvia;34;43;34;43;0;0
Malaysia;35;43;35;43;0;0
United Arab Emirates;36;42;38;43;2;0
Slovakia;37;42;36;43;-1;-1
Lithuania;38;42;40;41;2;0
Poland;39;41;39;42;0;0
Bulgaria;40;40;37;43;-3;-2
Greece;41;39;42;39;1;0
Viet Nam;42;39;45;38;3;1
Thailand;43;39;44;38;1;1
Croatia;44;38;41;41;-3;-3
Montenegro;45;38;52;37;7;1
Russian Federation;46;38;46;38;0;0
Ukraine;47;37;43;39;-4;-1
Georgia;48;37;59;35;11;2
Turkey;49;37;50;37;1;-1
Romania;50;37;49;38;-1;-1
Chile;51;37;47;38;-4;-1
India;52;37;57;35;5;1
Mongolia;53;36;53;36;0;0
Philippines;54;36;73;32;19;5
Costa Rica;55;36;54;36;-1;0
Mexico;56;36;56;35;0;1
Serbia;57;36;55;36;-2;0
Moldova, Republic of;58;36;48;38;-10;-2
TFYR Macedonia;59;35;84;30;25;5
Kuwait;60;35;60;34;0;0
Iran, Islamic Republic of;61;34;65;33;4;1
Uruguay;62;34;62;34;0;0
South Africa;63;34;58;35;-5;-1
Armenia;64;34;68;33;4;1
Qatar;65;34;51;37;-14;-3
Brazil;66;34;64;33;-2;0
Colombia;67;33;63;34;-4;-1
Saudi Arabia;68;33;61;34;-7;-1
Peru;69;33;71;32;2;1
Tunisia;70;33;66;33;-4;0
Brunei Darussalam;71;32;67;33;-4;-1
Belarus;72;32;86;29;14;3
Argentina;73;32;80;31;7;1
Morocco;74;32;76;31;2;1
Panama;75;32;70;32;-5;-1
Bosnia and Herzegovina;76;31;77;31;1;0
Kenya;77;31;78;31;1;0
Bahrain;78;31;72;32;-6;-1
Kazakhstan;79;31;74;31;-5;0
Oman;80;31;69;33;-11;-2
Jamaica;81;31;81;30;0;0
Mauritius;82;31;75;31;-7;-1
Albania;83;30;83;30;0;0
Azerbaijan;84;30;82;30;-2;0
Indonesia;85;30;85;30;0;0
Jordan;86;30;79;31;-7;-1
Dominican Republic;87;29;87;29;0;-1
Lebanon;88;29;90;28;2;0
Sri Lanka;89;29;88;29;-1;0
Kyrgyzstan;90;28;94;28;4;1
Trinidad and Tobago;91;28;96;27;5;1
Egypt;92;28;95;27;3;0
Botswana;93;27;91;28;-2;-1
Rwanda;94;27;99;27;5;1
Paraguay;95;27;89;29;-6;-2
Senegal;96;27;100;27;4;0
Tanzania, United Republic of;97;27;92;28;-5;-2
Cambodia;98;27;98;27;0;0
Ecuador;99;27;97;27;-2;0
Tajikistan;100;26;101;27;1;0
Namibia;101;26;93;28;-8;-2
Uganda;102;26;103;25;1;0
Côte d'Ivoire;103;26;123;20;20;6
Honduras;104;26;105;25;1;1
Pakistan;105;25;109;24;4;1
Ghana;106;25;107;25;1;1
Guatemala;107;25;102;26;-5;0
El Salvador;108;25;104;25;-4;0
Nepal;109;25;108;24;-1;1
Bolivia, Plurinational State of;110;25;117;23;7;2
Ethiopia;111;24;-;-;-;-
Mali;112;24;112;23;0;1
Algeria;113;24;110;24;-3;0
Nigeria;114;24;118;22;4;2
Cameroon;115;24;111;24;-4;0
Bangladesh;116;23;116;23;0;0
Burkina Faso;117;23;124;19;7;4
Malawi;118;23;114;23;-4;0
Mozambique;119;23;115;23;-4;0
Nicaragua;120;23;-;-;-;-
Madagascar;121;22;106;25;-15;-2
Zimbabwe;122;22;113;23;-9;-1
Benin;123;20;121;21;-2;0
Zambia;124;20;120;21;-4;0
Guinea;125;20;119;21;-6;-1
Togo;126;19;125;19;-1;0
Niger;127;18;122;21;-5;-3
Burundi;128;18;-;-;-;-
Yemen;129;15;126;15;-3;-1
